date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:52	107/107	---M-Z	200	added ('OK')	text/plain	date:Sun,%2013%20Nov%202022%2010:08:54%20GMT	https://ukzn.ac.za/robots.txt		(from )
15:37:53	89207/89207	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2007:39:48%20GMT	https://ukzn.ac.za/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/ukzn.ac.za/index.html	(from )
15:37:54	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2013%20Nov%202022%2010:08:56%20GMT	https://ukzn.ac.za/xmlrpc.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/ukzn.ac.za/xmlrpc.php	(from https://ukzn.ac.za/)
15:37:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Nov%202022%2010:08:57%20GMT	http://z3t9t3v4.stackpathcdn.com/wp-content/themes/ukznmainsite/css/images/ukzn-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/z3t9t3v4.stackpathcdn.com/wp-content/themes/ukznmainsite/css/images/ukzn-icon.1.delayed	(from https://ukzn.ac.za/)
15:37:57	19770/19770	---M--	200	added ('OK')	image/png	etag:%221494922370%22	https://z3t9t3v4.stackpathcdn.com/wp-content/themes/ukznmainsite/css/images/ukzn-icon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/z3t9t3v4.stackpathcdn.com/wp-content/themes/ukznmainsite/css/images/ukzn-icon.png	(from https://ukzn.ac.za/)
15:37:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Nov%202022%2010:08:59%20GMT	http://z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/eetpi0y4/2ifa8.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/eetpi0y4/2ifa8.css	(from https://ukzn.ac.za/)
15:37:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Nov%202022%2010:09:00%20GMT	http://z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/de6wdyyd/2ifal.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/de6wdyyd/2ifal.css	(from https://ukzn.ac.za/)
15:37:57	405731/405731	---M-Z	200	added ('OK')	text/css	etag:%221667167728%22	https://z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/eetpi0y4/2ifa8.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/eetpi0y4/2ifa8.css	(from https://ukzn.ac.za/)
15:37:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Nov%202022%2010:09:01%20GMT	http://z3t9t3v4.stackpathcdn.com/wp-content/uploads/elementor/css/post-16417.css?ver=1667167730	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/z3t9t3v4.stackpathcdn.com/wp-content/uploads/elementor/css/post-16417fa61.css	(from https://ukzn.ac.za/)
15:37:58	1232/1232	---M-Z	200	added ('OK')	text/css	etag:%221667167730%22	https://z3t9t3v4.stackpathcdn.com/wp-content/uploads/elementor/css/post-16417.css?ver=1667167730	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/z3t9t3v4.stackpathcdn.com/wp-content/uploads/elementor/css/post-16417fa61.css	(from https://ukzn.ac.za/)
15:37:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Nov%202022%2010:09:01%20GMT	http://z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/fttyiqrk/2ifal.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/fttyiqrk/2ifal.css	(from https://ukzn.ac.za/)
15:37:59	335651/335651	---M-Z	200	added ('OK')	text/css	etag:%221667167731%22	https://z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/de6wdyyd/2ifal.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/de6wdyyd/2ifal.css	(from https://ukzn.ac.za/)
15:38:00	705716/705716	---M-Z	200	added ('OK')	text/css	etag:%221667167731%22	https://z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/fttyiqrk/2ifal.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/z3t9t3v4.stackpathcdn.com/wp-content/cache/wpfc-minified/fttyiqrk/2ifal.css	(from https://ukzn.ac.za/)
15:38:01	1367/1367	---MC-	200	added ('OK')	application/json	date:Sun,%2013%20Nov%202022%2010:09:04%20GMT	https://ukzn.ac.za/wp-json/wp/v2/pages/5	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/ukzn.ac.za/wp-json/wp/v2/pages/5.json	(from https://ukzn.ac.za/)
15:38:02	187803/187803	---MC-	200	added ('OK')	application/json	date:Sun,%2013%20Nov%202022%2010:09:04%20GMT	https://ukzn.ac.za/wp-json/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/ukzn.ac.za/wp-json/index.html	(from https://ukzn.ac.za/)
15:38:03	2266/2266	---MC-	200	added ('OK')	application/json	date:Sun,%2013%20Nov%202022%2010:09:05%20GMT	https://ukzn.ac.za/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fukzn.ac.za%2F	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/ukzn.ac.za/wp-json/oembed/1.0/embed2c95.json	(from https://ukzn.ac.za/)
15:38:04	2324/2324	---M-Z	200	added ('OK')	text/xml	date:Sun,%2013%20Nov%202022%2010:09:07%20GMT	https://ukzn.ac.za/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fukzn.ac.za%2F&format=xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web101/Site101/ukzn.ac.za/wp-json/oembed/1.0/embedafbd	(from https://ukzn.ac.za/)
